Identifier,LAKE,TOWN,Noted.Location,Dominant.Taxa,Total.Cell.Concentration,Date.Advisory.Issued,Date.Advisory.Removed,Advisory.Days,AUID,Notification.Type
Robinson.Hudson,Robinson Pond,Hudson,,"Dolichospermum, Woronichinia, Microcystis","780,000",6/1/2021,6/8/2021,7,NHLAK700061203-06-01,Warning
Berry.Freedom,Berry Bay,Freedom,,NA,NA,6/2/2021,NA,NA,NHLAK600020804-01-01,Alert
Province.Effingham,Province Lake,Effingham/Wakefield,,NA,NA,6/2/2021,NA,NA,NHLAK600020902-01,Alert
Swains.Barrington,Swains Lake,Barrington,,"Dolichospermum, Woronichinia","1,050,000",6/2/2021,6/11/2021,9,NHLAK600030903-03,Warning
Webster.Franklin,Webster Lake,Franklin,,Dolichospermum,"145,000",6/2/2021,6/7/2021,5,NHLAK700010804-02-01,Warning
Highland.Stoddard,Highland Lake,Stoddard,,NA,NA,6/2/2021,NA,NA,NHLAK700030201-03,Alert
Island.Stoddard,Island Pond,Stoddard,,NA,NA,6/2/2021,NA,NA,NHLAK700030202-02-01,Alert
Tucker.Salisbury,Tucker Pond,Salisbury,,NA,NA,6/2/2021,NA,NA,NHLAK700030304-07,Alert
Bow.Strafford,Bow Lake,Strafford,,Dolichospermum,">70,000",6/4/2021,6/10/2021,6,NHLAK600030604-01-01,Warning
Clough.Loudon,Clough Pond,Loudon,,NA,NA,6/4/2021,NA,NA,NHLAK700060202-03-01,Alert
LowerSuncook.Barnstead,Lower Suncook Lake,Barnstead,,NA,NA,6/7/2021,NA,NA,NHLAK700060402-10-01,Alert
Elm.Hopkinton,Elm Brook,Hopkinton,,"Dolichospermum, Woronichinia","315,000",6/8/2021,6/11/2021,3,NHIMP700030503-01-01,Warning
Tuxbury.SouthHampton,Tuxbury Pond,South Hampton,,NA,NA,6/17/2021,NA,NA,NHLAK700061403-10,Alert
Spofford.Chesterfield,Spofford Lake,Chesterfield,,NA,NA,6/29/2021,NA,NA,NHLAK801070503-01-01,Alert
Silver.Hollis,Silver Lake,Hollis,,"Microcystis, Dolichospermum","1,250,000",7/4/2021,8/18/2021,45,NHLAK700061001-02-01,Warning
Swains.Barrington,Swains Lake,Barrington,,NA,NA,7/15/2021,NA,NA,NHLAK600030903-03,Alert
Tucker.Salisbury,Tucker Pond,Salisbury,,Woronichinia,"2,670,000",7/15/2021,9/10/2021,57,NHLAK700030304-07,Warning
Country.Kingston,Country Pond,"Kingston, Newton",,"Microcystis, Dolichospermum lemmermannii, D. circinalis, D. planctonicum, Woronichinia","1,950,000",7/15/2021,7/20/2021,5,NHLAK700061403-03-01,Warning
Greenwood.Kingston,Greenwood Pond,Kingston,,Planktothrix mats,benthic mats; too numerous to count (TNTC),7/15/2021,7/20/2021,5,NHLAK700061403-07,Warning
Kanasatka.Moultonboro,"Kanasatka, Lake",Moultonborough,,NA,NA,7/16/2021,NA,NA,NHLAK700020105-02,Alert
Marsh.Alton,Marsh Pond,"New Durham, Alton",,Planktothrix,"85,000",7/21/2021,9/20/2021,61,NHIMP700020102-01-02,Warning
MiddleDan.Freedom,Middle Danforth Pond,Freedom,,NA,NA,7/21/2021,NA,NA,NHLAK600020803-01-02,Alert
Wash.Hampstead,Wash Pond/Sunset Lake,Hampstead,,Benthic,NA,7/21/2021,NA,NA,NHLAK700061101-03-01,Alert
Governors.Raymond,Governors Lake,Raymond,,"Microcystis, Woronichinia, Dolichospermum","2,600,000",7/22/2021,8/3/2021,12,NHLAK600030703-01,Warning
Kanasatka.Moultonboro,"Kanasatka, Lake",Moultonborough,,NA,NA,7/24/2021,NA,NA,NHLAK700020105-02,Alert
Bow.Strafford,Bow Lake,Strafford,,NA,NA,8/3/2021,NA,NA,NHLAK600030604-01-01,Alert
Kanasatka.Moultonboro,"Kanasatka, Lake",Moultonborough,,Dolichospermum,"750,000",8/3/2021,8/18/2021,15,NHLAK700020105-02,Warning
Robinson.Hudson,Robinson Pond,Hudson,,"Dolichospermum, Woronichinia, Aphanizomenon","849,500",8/3/2021,8/12/2021,9,NHLAK700061203-06-01,Warning
Locke.Barnstead,Locke Lake,Barnstead,,"Microcystis, Dolichospermum","340,000",8/4/2021,9/8/2021,35,NHIMP700060402-02,Warning
Northwood.Northwood,Northwood Lake,Northwood,,NA,NA,8/4/2021,NA,NA,NHLAK700060502-08-01,Alert
Harvey.Northwood,Harvey Lake,Northwood,,"Microcystis, Woronichinia, Dolichospermum","2,230,000",8/9/2021,9/3/2021,25,NHLAK700060502-05,Warning
PineRiver.Wakefield,Pine River Pond,Wakefield ,,Benthic,NA,8/10/2021,NA,NA,NHLAK600020703-03,Alert
MiddleDan.Freedom,Middle Danforth Pond,Freedom,,NA,NA,8/10/2021,NA,NA,NHLAK600020803-01-02,Alert
Governors.Raymond,Governors Lake,Raymond,,NA,NA,8/10/2021,NA,NA,NHLAK600030703-01,Alert
Phillips.Sandown,Phillips Pond,Sandown,,NA,NA,8/10/2021,NA,NA,NHLAK600030802-03-01,Alert
Highland.Andover,Highland Lake,Andover,,Benthic,NA,8/10/2021,NA,NA,NHLAK700010804-01-01,Alert
French.Henniker,French Pond,Henniker,,NA,NA,8/10/2021,NA,NA,NHLAK700030504-02-01,Alert
Lily.Barnstead,Lily Pond,Barnstead,,Benthic,NA,8/10/2021,NA,NA,NHLAK700060501-04,Alert
Arlington.Salem,Arlington Mill Reservoir,Salem,,NA,NA,8/10/2021,NA,NA,NHLAK700061101-04,Alert
Forest.Dalton,Forest Lake,"Whitefield, Dalton",,NA,NA,8/10/2021,NA,NA,NHLAK801030101-02-01,Alert
Chalk.Newbury,Chalk Pond,Newbury,,Benthic,NA,8/10/2021,NA,NA,NHLAK801060402-03,Alert
Swanzey.Swanzey,Swanzey Lake,Swanzey,,NA,NA,8/10/2021,NA,NA,NHLAK802010302-01-01,Alert
Monomonac.Rindge,"Monomonac, Lake",Rindge,,NA,NA,8/10/2021,NA,NA,NHLAK802020103-06,Alert
Mirror.Tuftonboro,Mirror Lake,"Tuftonboro, Wolfeboro",,Dolichospermum,"115,000",8/12/2021,8/20/2021,8,NHLAK700020106-02-01,Warning
Eastman.Grantham,Eastman Pond,Grantham,,Dolichospermum,"205,000",8/13/2021,8/19/2021,6,NHLAK801060401-06,Warning
Elm.Hopkinton,Elm Brook,Hopkinton,,NA,NA,8/15/2021,NA,NA,NHIMP700030503-01-01,Alert
Phillips.Sandown,Phillips Pond,Sandown,,NA,NA,8/25/2021,NA,NA,NHLAK600030802-03-01,Alert
Waukeena.Danbury,"Waukeena, Lake",Danbury,,Benthic,NA,8/25/2021,NA,NA,NHLAK700010701-05,Alert
Wentworth.Wolfeboro,"Wentworth, Lake",Wolfeboro,,Gloeotrichia,NA,8/25/2021,NA,NA,NHLAK700020101-05-01,Alert
Mill.Alton,Mill Pond,Alton,,NA,NA,8/25/2021,NA,NA,NHLAK700020102-04,Alert
Kanasatka.Moultonboro,"Kanasatka, Lake",Moultonborough,,NA,NA,8/25/2021,NA,NA,NHLAK700020105-02,Alert
Winni.Gilford,"Winnipesaukee, Lake","Meredith, Laconia, Moultonborough, Gilford",,Gloeotrichia  (Governor's Island),NA,8/25/2021,NA,NA,NHLAK700020110-02-19-7,Alert
French.Henniker,French Pond,Henniker,,NA,NA,8/25/2021,NA,NA,NHLAK700030504-02-01,Alert
Halfmoon.Alton,Halfmoon Lake,"Alton, Barnstead",,NA,NA,8/25/2021,NA,NA,NHLAK700060402-03,Alert
Northwood.Northwood,Northwood Lake,Northwood,,NA,NA,8/25/2021,NA,NA,NHLAK700060502-08-01,Alert
Horace.Weare,Horace Lake,Weare,,NA,NA,8/25/2021,NA,NA,NHLAK700060601-05-01,Alert
Silver.Hollis,Silver Lake,Hollis,,NA,NA,8/25/2021,NA,NA,NHLAK700061001-02-01,Alert
Long.Pelham,Long Pond,Pelham,,"Microcystis, Dolichospermum planctonicum","3,600,000",8/25/2021,9/3/2021,9,NHLAK700061205-02-01,Warning
Angle.Sandown,Angle Pond,Sandown,,NA,NA,8/25/2021,NA,NA,NHLAK700061403-01-01,Alert
Country.Kingston,Country Pond,"Kingston, Newton",,NA,NA,8/25/2021,NA,NA,NHLAK700061403-03-01,Alert
Forest.Dalton,Forest Lake,"Whitefield, Dalton",,NA,NA,8/25/2021,NA,NA,NHLAK801030101-02-01,Alert
Mascoma.Enfield,Mascoma Lake,Enfield/Lebanon,,NA,NA,8/25/2021,NA,NA,NHLAK801060105-04-01,Alert
Sunapee.Sunapee,Sunapee Lake,Sunapee/NewLondon/Newbury,,Gloeotrichia,NA,8/25/2021,NA,NA,NHLAK801060402-05-01,Alert
MiddleDan.Freedom,Middle Danforth Pond,Freedom,,"Planktothrix, Dolichospermum lemmermannii",">70,000",8/26/2021,9/2/2021,7,NHLAK600020803-01-02,Warning
Ayers.Barrington,Ayers Pond,Barrington,,Woronichinia,"1,500,000",8/26/2021,9/3/2021,8,NHLAK600030607-01,Warning
Pleasant.Henniker,Pleasant Pond,Henniker,,Chrysosporum,"75,000",8/26/2021,12/7/2021,103,NHLAK700060601-03-01,Warning
Horace.Weare,Horace Lake,Weare,,"D. lemmermannii, D. planctonicum",">70,000",8/26/2021,9/2/2021,7,NHLAK700060601-05-01,Warning
Country.Kingston,Country Pond,"Kingston, Newton",,"Microcystis, Woronichinia, Dolichospermum","125,000",8/26/2021,9/2/2021,7,NHLAK700061403-03-01,Warning
Contoocook.Jaffrey,Contoocook Lake,Jaffrey,,NA,NA,8/30/2021,NA,NA,NHLAK700030101-03-01,Alert
BigIsland.Derry,Big Island Pond,Derry,,NA,NA,9/1/2021,NA,NA,NHLAK700061101-01-01,Alert
MiddleDan.Freedom,Middle Danforth Pond,Freedom,,NA,NA,9/7/2021,NA,NA,NHLAK600020803-01-02,Alert
Ayers.Barrington,Ayers Pond,Barrington,,NA,NA,9/7/2021,NA,NA,NHLAK600030607-01,Alert
Harvey.Northwood,Harvey Lake,Northwood,,NA,NA,9/7/2021,NA,NA,NHLAK700060502-05,Alert
Northwood.Northwood,Northwood Lake,Northwood,,NA,NA,9/7/2021,NA,NA,NHLAK700060502-08-01,Alert
Long.Pelham,Long Pond,Pelham,,NA,NA,9/7/2021,NA,NA,NHLAK700061205-02-01,Alert
Country.Kingston,Country Pond,"Kingston, Newton",,NA,NA,9/7/2021,NA,NA,NHLAK700061403-03-01,Alert
Harvey.Northwood,Harvey Lake,Northwood,,"Microcystis, Woronichinia",">70,000",9/8/2021,10/25/2021,47,NHLAK700060502-05,Warning
Partridge.Littleton,Partridge Lake,Littleton,,NA,NA,9/9/2021,NA,NA,NHLAK801030502-03,Alert
Great.Kingston,Great Pond,Kingston,,"Microcystis, Dolichospermum","7,500,000",9/10/2021,10/14/2021,34,NHLAK700061403-06-01,Warning
Kanasatka.Moultonboro,"Kanasatka, Lake",Moultonborough,,"Dolichospermum lemmermannii, Dolichospermum planctonicum, Dolichospermum circinale","502,000",9/13/2021,9/20/2021,7,NHLAK700020105-02,Warning
Silver.Hollis,Silver Lake,Hollis,,"Microcystis, Woronichinia, Dolichospermum lemmermannii","1,525,000",9/13/2021,11/3/2021,51,NHLAK700061001-02-01,Warning
Swains.Barrington,Swains Lake,Barrington,,NA,NA,9/14/2021,NA,NA,NHLAK600030903-03,Alert
Winni.Tuftonboro,"Winnipesaukee, Lake","Tuftonborough, Moultonborough",,Benthic,NA,9/14/2021,NA,NA,NHLAK700020110-02-19-1,Alert
Contoocook.Jaffrey,Contoocook Lake,Jaffrey,,NA,NA,9/14/2021,NA,NA,NHLAK700030101-03-01,Alert
Arlington.Salem,Arlington Mill Reservoir,Salem,,NA,NA,9/14/2021,NA,NA,NHLAK700061101-04,Alert
Spofford.Chesterfield,Spofford Lake,Chesterfield,,NA,NA,9/14/2021,NA,NA,NHLAK801070503-01-01,Alert
Northwood.Northwood,Northwood Lake,Northwood,,Microcystis,"170,000",9/15/2021,10/25/2021,40,NHLAK700060502-08-01,Warning
Monomonac.Rindge,"Monomonac, Lake",Rindge,,NA,NA,9/20/2021,NA,NA,NHLAK802020103-06,Alert
Phillips.Sandown,Phillips Pond,Sandown,,"Woronichinia, Microcystis, Dolichospermum","340,000",9/22/2021,11/3/2021,42,NHLAK600030802-03-01,Warning
Country.Kingston,Country Pond,"Kingston, Newton",,"Microcystis, Woronichinia","8,500,000",9/22/2021,11/3/2021,42,NHLAK700061403-03-01,Warning
Arlington.Salem,Arlington Mill Reservoir,Salem,,"Microcystis, Woronichinia, Dolichospermum lemmermannii","1,075,000",9/23/2021,11/3/2021,41,NHLAK700061101-04,Warning
Ayers.Barrington,Ayers Pond,Barrington,,NA,NA,10/5/2021,NA,NA,NHLAK600030607-01,Alert
Province.Effingham,Province Lake,Effingham/Wakefield,,NA,NA,10/7/2021,NA,NA,NHLAK600020902-01,Alert
Sunrise.Middleton,Sunrise Lake,Middleton,,NA,NA,10/7/2021,NA,NA,NHLAK600030601-05-01,Alert
Swains.Barrington,Swains Lake,Barrington,,NA,NA,10/7/2021,NA,NA,NHLAK600030903-03,Alert
French.Henniker,French Pond,Henniker,,NA,NA,10/7/2021,NA,NA,NHLAK700030504-02-01,Alert
LowerSuncook.Barnstead,Lower Suncook Lake,Barnstead,,NA,NA,10/7/2021,NA,NA,NHLAK700060402-10-01,Alert
Millville.Salem,Millville Lake,Salem,,NA,NA,10/7/2021,NA,NA,NHLAK700061102-06-01,Alert
Wilson.Salem,Wilson Pond,Salem,,NA,NA,10/7/2021,NA,NA,NHLAK700061102-14,Alert
Beaver.Derry,Beaver Lake,Derry,,NA,NA,10/7/2021,NA,NA,NHLAK700061203-02-01,Alert
Long.Pelham,Long Pond,Pelham,,NA,NA,10/7/2021,NA,NA,NHLAK700061205-02-01,Alert
Partridge.Littleton,Partridge Lake,Littleton,,NA,NA,10/7/2021,NA,NA,NHLAK801030502-03,Alert
Warren.Alstead,"Warren, Lake",Alstead,,NA,NA,10/7/2021,NA,NA,NHLAK801070203-01,Alert
Millen.Washington,Millen Pond,Washington,,Nostoc,NA,10/7/2021,NA,NA,NHLAK802010101-06-01,Alert
French.Henniker,French Pond,Henniker,,"Woronichinia, Microcystis, Dolichospermum","25,275,000",10/8/2021,12/7/2021,60,NHLAK700030504-02-01,Warning
Tucker.Salisbury,Tucker Pond,Salisbury,,NA,NA,10/13/2021,NA,NA,NHLAK700030304-07,Alert
Gorham.Dunbarton,Gorham Pond,Dunbarton,,"Microcystis, Woronichinia, Dolichospermum lemmermannii, Dolichospermum planctonicum","8,010,000",10/14/2021,10/25/2021,11,NHLAK700060603-01,Warning
Horace.Weare,Horace Lake,Weare,,NA,NA,10/28/2021,NA,NA,NHLAK700060601-05-01,Alert
PineRiver.Wakefield,Pine River Pond,Wakefield ,,NA,NA,11/8/2021,NA,NA,NHLAK600020703-03,Alert
MiddleDan.Freedom,Middle Danforth Pond,Freedom,,NA,NA,11/8/2021,NA,NA,NHLAK600020803-01-02,Alert
Broad.Ossipee,Broad Bay,Ossipee,,NA,NA,11/8/2021,NA,NA,NHLAK600020804-01-03,Alert
Province.Effingham,Province Lake,Effingham/Wakefield,,NA,NA,11/8/2021,NA,NA,NHLAK600020902-01,Alert
Phillips.Sandown,Phillips Pond,Sandown,,NA,NA,11/8/2021,NA,NA,NHLAK600030802-03-01,Alert
Wheelwright.Lee,Wheelwright Pond,Lee,,NA,NA,11/8/2021,NA,NA,NHLAK600030902-02,Alert
Swains.Barrington,Swains Lake,Barrington,,NA,NA,11/8/2021,NA,NA,NHLAK600030903-03,Alert
Kanasatka.Moultonboro,"Kanasatka, Lake",Moultonborough,,NA,NA,11/8/2021,NA,NA,NHLAK700020105-02,Alert
Winni.Moultonboro,"Winnipesaukee, Lake","Moultonborough, Tuftonborough",,(Green's Basin),NA,11/8/2021,NA,NA,NHLAK700020110-02-19-8,Alert
Cobbetts.Windham,Cobbetts Pond,Windham,,NA,NA,11/8/2021,NA,NA,NHLAK700061204-01-01,Alert
WhiteOak.Holderness,White Oak Pond,Holderness,,NA,NA,11/22/2021,NA,NA,NHLAK700010501-05,Alert
Country.Kingston,Country Pond,"Kingston, Newton",,NA,NA,5/17/2022,NA,NA,NHLAK700061403-03-01,Alert
Swains.Barrington,Swains Lake,Barrington,,Photo,NA,5/20/2022,NA,NA,NHLAK600030903-03,Alert
Arlington.Salem,Arlington Mill Reservoir,Salem,,Dolichospermum,"300,000",5/20/2022,6/2/2022,13,NHLAK700061101-04,Warning
Swains.Barrington,Swains Lake,Barrington,,NA,NA,5/23/2022,NA,NA,NHLAK600030903-03,Alert
Country.Kingston,Country Pond,"Kingston, Newton",,NA,NA,5/23/2022,NA,NA,NHLAK700061403-03-01,Alert
Bow.Strafford,Bow Lake,Strafford,,"Dolichospermum, Microcystis","3,120,000",5/31/2022,6/7/2022,7,NHLAK600030604-01-01,Warning
Island.Stoddard,Island Pond,Stoddard,,Dolichospermum,"302,000",5/31/2022,6/10/2022,10,NHLAK700030202-02-01,Warning
Goose.Canaan,Goose Pond,"Canaan, Hanover",,Dolichospermum,"1,698,000",6/3/2022,6/8/2022,5,NHLAK801060103-01,Warning
Mascoma.Enfield,Mascoma Lake,Enfield/Lebanon,,Dolichospermum,"1,279,400",6/3/2022,6/10/2022,7,NHLAK801060105-04-01,Warning
Ayers.Barrington,Ayers Pond,Barrington,,Dolichospermum,"158,200",6/7/2022,6/14/2022,7,NHLAK600030607-01,Warning
Silver.Hollis,Silver Lake,Hollis,,NA,NA,6/8/2022,NA,NA,NHLAK700061001-02-01,Alert
Robinson.Hudson,Robinson Pond,Hudson,,"Dolichospermum, Woronichinia","356,933",6/13/2022,6/20/2022,7,NHLAK700061203-06-01,Warning
Northeast.Milton,Northeast Pond,Milton,,NA,NA,6/16/2022,NA,NA,NHLAK600030404-02,Alert
Silver.Hollis,Silver Lake,Hollis,,Microcystis ,"200,000",6/21/2022,7/28/2022,37,NHLAK700061001-02-01,Warning
Keyser.Henniker,Keyser Pond,Henniker,,NA,NA,6/22/2022,NA,NA,NHLAK700030504-03,Alert
Opechee.Laconia,Opechee Lake,Laconia,,Photo,NA,6/23/2022,NA,NA,NHLAK700020201-06-01,Alert
Bearcamp.Sandwich,Bearcamp Pond,Sandwich,,Photo,NA,6/24/2022,NA,NA,NHLAK600020601-01-01,Alert
Swains.Barrington,Swains Lake,Barrington,,Photo,NA,6/24/2022,NA,NA,NHLAK600030903-03,Alert
Pleasant.NewLondon,Pleasant Lake,New London,,NA,NA,6/24/2022,NA,NA,NHLAK700030402-02-01,Alert
Winnisquam.Laconia,"Winnisquam, Lake",Laconia,,NA,NA,6/27/2022,NA,NA,NHLAK700020201-05-01,Alert
Opechee.Laconia,Opechee Lake,Laconia,,Dolichospermum,"76,133",6/27/2022,7/1/2022,4,NHLAK700020201-06-01,Warning
Granite.Nelson,Granite Lake,Nelson,,NA,NA,6/28/2022,NA,NA,NHLAK802010201-05,Alert
Winni.Wolfeboro,"Winnipesaukee, Lake","Wolfeboro, Tuftonborough, Alton",,Dolichospermum (Jockey Cove),"414,667",6/29/2022,7/1/2022,2,NHLAK700020110-02-19-3,Warning
Winni.Gil2,"Winnipesaukee, Lake","Gilford, Laconia, Alton",,Dolichospermum (Ellacoya State Park),"199,733",6/29/2022,7/1/2022,2,NHLAK700020110-02-19-4,Warning
Stinson.Rumney,Stinson Lake,Rumney,,Dolichospermum,"106,267",7/1/2022,7/7/2022,6,NHLAK700010306-01,Warning
Greenwood.Kingston,Greenwood Pond,Kingston ,,NA,NA,7/1/2022,NA,NA,NHLAK700061403-07,Alert
Keyser.Henniker,Keyser Pond,Henniker,,Chrysosporum,"93,900",7/6/2022,8/9/2022,34,NHLAK700030504-03,Warning
Sand.Marlow,Sand Pond,Marlow/Lempster,,NA,NA,7/6/2022,NA,NA,NHLAK802010101-08,Alert
Captains.Salem,Captains Pond,Salem,,NA,NA,7/7/2022,NA,NA,NHLAK700061102-03-01,Alert
Winnisquam.Laconia,"Winnisquam, Lake",Laconia,,NA,NA,7/20/2022,NA,NA,NHLAK700020201-05-01,Alert
Sebbins.Bedford,Sebbins Pond,Bedford,,"Dolichospermum, Microcystis","816,000",7/20/2022,9/27/2022,69,NHLAK700060804-02,Warning
Spofford.Chesterfield,Spofford Lake,Chesterfield,,Benthic,NA,7/20/2022,NA,NA,NHLAK801070503-01-01,Alert
Forest.Winchester,Forest Lake,Winchester,,Planktothrix,"338,200",7/22/2022,8/25/2022,34,NHLAK802010401-01-01,Warning
JonesDam.NewDurham,Jones Dam Pond,New Durham,,Planktothrix,"177,500",7/26/2022,8/2/2022,7,NHIMP700020102-01-01,Warning
Greenwood.Kingston,Greenwood Pond,Kingston,,Planktothrix,"782,400",7/27/2022,8/4/2022,8,NHLAK700061403-07,Warning
Kanasatka.Moultonboro,"Kanasatka, Lake",Moultonborough,,Dolichospermum,"109,267",7/29/2022,8/11/2022,13,NHLAK700020105-02,Warning
Showell.Sandown,Showell Pond,Sandown,,"Chrysosporum, Planktothrix, Spirulina, Phormidium ","148080, TNTC",8/2/2022,9/27/2022,56,NHLAK600030802-04,Warning
Forest.Dalton,Forest Lake,"Whitefield, Dalton",,NA,NA,8/2/2022,NA,NA,NHLAK801030101-02-01,Alert
Baboosic.Amherst,Baboosic Lake,Amherst,,"Planktothrix, Dolichospermum, Microcystis, Chrysosporum ","340,200",8/4/2022,8/10/2022,6,NHLAK700060905-01-01,Warning
Gould.Hillsboro,Gould Pond,Hillsborough,,NA,NA,8/5/2022,NA,NA,NHLAK700030501-01,Alert
Long.Pelham,Long Pond,Pelham,,Photo,NA,8/5/2022,NA,NA,NHLAK700061205-02-01,Alert
Silver.Hollis,Silver Lake,Hollis,,"Woronichinia, Microcystis, Planktothrix ","329,000",8/8/2022,11/16/2022,100,NHLAK700061001-02-01,Warning
Long.Pelham,Long Pond,Pelham,,"Dolichospermum, Chrysosporum, Microcystis ","73,000",8/8/2022,8/16/2022,8,NHLAK700061205-02-01,Warning
Clough.Loudon,Clough Pond,Loudon,,Dolichospermum,"673,600",8/9/2022,8/15/2022,6,NHLAK700060202-03-01,Warning
Halfmoon.Kingston,Halfmoon Pond,Kingston,,Planktothrix,"244,000",8/9/2022,9/7/2022,29,NHLAK700061403-08,Warning
Halfmoon.Hancock,Halfmoon Pond,Hancock,,Planktothrix,"2,582,000",8/12/2022,8/18/2022,6,NHLAK700030103-04,Warning
Tucker.Salisbury,Tucker Pond,Salisbury,,"Woronichinia, Microcystis","3,440,000",8/12/2022,11/18/2022,98,NHLAK700030304-07,Warning
Elm.Hopkinton,Elm Brook,Hopkinton,,"Dolichospermum, Woronichinia, Planktothrix","87,599",8/15/2022,8/19/2022,4,NHIMP700030503-01-01,Warning
Pearly.Rindge,Pearly Lake,Rindge,,NA,NA,8/17/2022,NA,NA,NHLAK802020103-08,Alert
Harvey.Northwood,Harvey Lake,Northwood,,"Chrysosporum, Woronichinia","129,600",8/19/2022,10/11/2022,53,NHLAK700060502-05,Warning
Spofford.Chesterfield,Spofford Lake,Chesterfield,,NA,NA,8/19/2022,NA,NA,NHLAK801070503-01-01,Alert
Duncan.Ossipee,Duncan Lake,Ossipee,,NA,NA,8/22/2022,NA,NA,NHLAK600020703-01-01,Alert
Duncan.Ossipee,Duncan Lake,Ossipee,,Oscillatoria and Phormidium,too numerous to count (TNTC),8/23/2022,10/19/2022,57,NHLAK600020703-01-01,Warning
GreatEast.Wakefield,Great East Lake,Wakefield,,NA,NA,8/23/2022,NA,NA,NHLAK600030403-01,Alert
Long.Pelham,Long Pond,Pelham,,"Dolichospermum, Chrysosporum, Microcystis, Woronichinia ","565,600",8/23/2022,9/22/2022,30,NHLAK700061205-02-01,Warning
Baboosic.Amherst,Baboosic Lake,Amherst,,"Dolichospermum, Chrysosporum, Microcystis","86,400",8/24/2022,9/2/2022,9,NHLAK700060905-01-01,Warning
Kanasatka.Moultonboro,"Kanasatka, Lake",Moultonborough,,Dolichospermum,"1,375,600",8/29/2022,11/16/2022,79,NHLAK700020105-02,Warning
GreatEast.Wakefield,Great East Lake,Wakefield,,Gloeotrichia,NA,8/30/2022,NA,NA,NHLAK600030403-01,Alert
Wentworth.Wolfeboro,"Wentworth, Lake",Wolfeboro,,Gloeotrichia,NA,8/30/2022,NA,NA,NHLAK700020101-05-01,Alert
Winni.Gilford,"Winnipesaukee, Lake","Meredith, Laconia, Moultonborough, Gilford",,Photo - Gloeotrichia,NA,8/30/2022,NA,NA,NHLAK700020110-02-19-7,Alert
LittleIsland.Pelham,Little Island Pond,Pelham,,NA,NA,8/30/2022,NA,NA,NHLAK700061204-02,Alert
Province.Effingham,Province Lake,Effingham/Wakefield,,Photo,NA,9/2/2022,NA,NA,NHLAK600020902-01,Alert
Sunapee.Sunapee,Sunapee Lake,Sunapee/NewLondon/Newbury,,NA,NA,9/2/2022,NA,NA,NHLAK801060402-05-01,Alert
Province.Effingham,Province Lake,Effingham/Wakefield,,Dolichospermum,"876,000",9/7/2022,9/21/2022,14,NHLAK600020902-01,Warning
Ayers.Barrington,Ayers Pond,Barrington,,"Microcystis, Dolichospermum, Woronichinia ","1,835,200",9/7/2022,10/11/2022,34,NHLAK600030607-01,Warning
